Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win BELL,BS Outcome - Direct Ball Win Blue,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct turnover BELL,BS Outcome - Direct turnover Blue,BS Outcome - Direct turnover DUKE,BS Outcome - In Direct Ball Win BELL,BS Outcome - In Direct Ball Win Blue,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct turnover BELL,BS Outcome - In Direct turnover Blue,BS Outcome - In Direct turnover DUKE,BS Outcome - New BS BELL,BS Outcome - New BS Blue,BS Outcome - New BS DUKE,Ball Start,Circle Entry,From Zone BELL,From Zone Blue,From Zone DUKE,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type BELL,Start Type Blue,Start Type DUKE,To Zone BELL,To Zone Blue,To Zone DUKE,Ungrouped,Notes,Flags
Duke vs Bellarmine,13.555633333333333,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,1103.3056222222222,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,2124.616611111111,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,3241.6753,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,13.698834156999943,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
Duke vs Bellarmine,19.399239593998782,0.0,Labels,2,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,27.698583412997984,0.0,Labels,3,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To D25 DUKE,,,
Duke vs Bellarmine,32.77953255899729,0.0,Labels,4,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,36.29793259599862,0.0,Labels,5,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,38.93117694299648,0.0,Labels,6,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,41.698302128001444,0.0,Labels,7, ,,,,,,,,,,,,,,,,,,,,Middle,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,43.09878270899124,0.0,Labels,8,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,"CE DUKE, Chance DUKE, Shot DUKE",,,,,,,,,,,,,,To Circle DUKE,,,
Duke vs Bellarmine,44.79951867099389,0.0,Labels,9,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,ACE,"Goal DUKE, CE DUKE",,,,,,,,,,,,,,To Circle DUKE,,,
Duke vs Bellarmine,211.99692222222222,0.0,Labels,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
Duke vs Bellarmine,214.19707746399754,0.0,Labels,11,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To D25 DUKE,,,
Duke vs Bellarmine,221.79867895999698,0.0,Labels,12,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,227.01180819799538,0.0,Labels,13,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,229.99741970500125,0.0,Labels,14,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,236.89954116700034,0.0,Labels,15,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,239.09778148999834,0.0,Labels,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,244.72924444444445,0.0,Labels,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,258.53302487799994,0.0,Labels,18,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,To DMid BELL,,,,,
Duke vs Bellarmine,263.59914982499845,0.0,Labels,19,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,265.29916304999523,0.0,Labels,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke vs Bellarmine,278.4973755149936,0.0,Labels,21,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,280.3997148739985,0.0,Labels,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BELL,,,", ",,
Duke vs Bellarmine,287.6977836209971,0.0,Labels,23,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,,,,
