Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win LONG,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover LONG,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win LONG,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover LONG,BS Outcome - New BS DUKE,BS Outcome - New BS LONG,Ball Start,Circle Entry,From Zone DUKE,From Zone LONG,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type LONG,To Zone DUKE,To Zone LONG,Ungrouped,Notes,Flags
Duke vs Longwood,43.79967777777778,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Longwood,1313.6528888888888,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Longwood,2951.862207559,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Longwood,4109.0117222222225,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Longwood,44.59805164499982,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs Longwood,54.99996971098981,0.0,Labels,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,60.196577518000964,0.0,Labels,3,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,70.59949925299425,0.0,Labels,4,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,73.83804444444445,0.0,Labels,5,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,73.83804444444445,0.0,Labels,6,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To DMid LONG,,,
