Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Rich,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Rich,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Rich,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Rich,BS Outcome - New BS DUKE,BS Outcome - New BS Rich,Ball Start,Circle Entry,From Zone DUKE,From Zone Rich,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type Rich,To Zone DUKE,To Zone Rich,Ungrouped,Notes,Flags
UR v Duke,4117.9958662809995,13.0,Upgrade DUKE,1,,,PC Win,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,", Home Game, DUKE 7 - 1  Rich, Q4, DUKE 11v11 Rich, Start DMid DUKE, BS2 DUKE, Regular Season, In Conf",,
UR v Duke,146.41025555555555,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UR v Duke,1113.5648666666666,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UR v Duke,2289.6860954949952,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 Rich, In Conf, Home Game, Q2, Regular Season, DUKE 4 - 1  Rich",,
UR v Duke,3319.972411111111,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UR v Duke,148.9708222222222,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
UR v Duke,160.6976008859997,0.0,Labels,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
UR v Duke,161.8998469349954,0.0,Labels,3,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
UR v Duke,165.599420899003,0.0,Labels,4,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
UR v Duke,167.79937525099547,0.0,Labels,5,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
