Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win UVA,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover UVA,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win UVA,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover UVA,BS Outcome - New BS DUKE,BS Outcome - New BS UVA,Ball Start,Circle Entry,From Zone DUKE,From Zone UVA,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type UVA,Start Type UofL,To Zone DUKE,To Zone UVA,To Zone UofL,Ungrouped,Notes,Flags
Duke vs UVA,123.51038894966682,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, In Conf, Home Game, Q0, Regular Season, DUKE 0 - 0  UVA",,
Duke vs UVA,1398.6599988576656,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, In Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  UVA",,
Duke vs UVA,3322.8297803926675,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, In Conf, Home Game, Q2, Regular Season, DUKE 1 - 3  UVA",,
Duke vs UVA,4613.033378956334,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, In Conf, Home Game, Q3, Regular Season, DUKE 2 - 3  UVA",,
Duke vs UVA,124.68465948133263,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,,", ",,
Duke vs UVA,128.80726994766633,0.0,Labels,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,133.76033183966598,0.0,Labels,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UVA,,", ",,
Duke vs UVA,135.69368446099998,0.0,Labels,4,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,137.39909923733333,0.0,Labels,5,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To D25 UVA,,,,
Duke vs UVA,147.47682958933322,0.0,Labels,6,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,148.67694768633257,0.0,Labels,7,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,To AMid DUKE,,,,,
Duke vs UVA,150.2072836513334,0.0,Labels,8,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,151.25478895033243,0.0,Labels,9,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,152.45083268033224,0.0,Labels,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,155.40246137399936,0.0,Labels,11,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,156.73914324399976,0.0,Labels,12,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,165.14350588499946,0.0,Labels,13,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,166.46039933066666,0.0,Labels,14,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,169.0452269299989,0.0,Labels,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,171.260226057666,0.0,Labels,16,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,173.02669936533343,0.0,Labels,17, ,,,,,,,,,,,,,,,Middle,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,175.03782646699946,0.0,Labels,18,,,,,,,,,,,,,,,,,,From A25 UVA,,"Chance UVA, Shot UVA, CE UVA",,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,186.82806193666684,0.0,Labels,19,,,,,,,,,,,,,,,,,,From A25 UVA,,"CE UVA, PC Win UVA",,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,235.78103636266616,0.0,Labels,20,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,", ",,
Duke vs UVA,244.18715792433323,0.0,Labels,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", ",,
Duke vs UVA,254.88933525100015,0.0,Labels,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,263.3050764016663,0.0,Labels,23,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,267.16669560633306,0.0,Labels,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UVA,,", ",,
Duke vs UVA,277.9667887083328,0.0,Labels,25,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,LC UVA,,,,,,,
Duke vs UVA,278.9914793399994,0.0,Labels,26,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,282.79429901866587,0.0,Labels,27,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,286.43165886899936,0.0,Labels,28,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,292.7048747096661,0.0,Labels,29,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,298.38521436600024,0.0,Labels,30,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,303.30316177633375,0.0,Labels,31,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,307.8421972163325,0.0,Labels,32,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,313.79330917066653,0.0,Labels,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,327.9705243763328,0.0,Labels,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,332.73593587633314,0.0,Labels,35,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,334.04391164433264,0.0,Labels,36,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,336.3526531686665,0.0,Labels,37,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,343.085964528333,0.0,Labels,38,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,344.14083213399937,0.0,Labels,39,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,To AMid DUKE,,,,,
Duke vs UVA,345.9246914063327,0.0,Labels,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,,,", ",,
Duke vs UVA,354.79024335999986,0.0,Labels,41,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,356.458547583999,0.0,Labels,42,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To D25 UVA,,,,
Duke vs UVA,358.9075317556669,0.0,Labels,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid UVA,,", ",,
Duke vs UVA,363.6356512613325,0.0,Labels,44,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,366.60577866633344,0.0,Labels,45,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,367.7505133603329,0.0,Labels,46,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,368.99773857533273,0.0,Labels,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,,", ",,
Duke vs UVA,379.1390846493332,0.0,Labels,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,,", ",,
Duke vs UVA,393.1681639063327,0.0,Labels,49,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,404.13956717533324,0.0,Labels,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UVA,,", ",,
Duke vs UVA,407.72255084600005,0.0,Labels,51,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,408.59245799066565,0.0,Labels,52,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,410.656967015333,0.0,Labels,53,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid DUKE,,,,,
Duke vs UVA,417.13288733566634,0.0,Labels,54,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To A25 DUKE,,,,,
Duke vs UVA,421.80712350733336,0.0,Labels,55,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,423.12304395299947,0.0,Labels,56,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To D25 UVA,,,,
Duke vs UVA,429.72452926633264,0.0,Labels,57,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,430.761394275999,0.0,Labels,58,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,To A25 DUKE,,,,,
Duke vs UVA,436.61714710499956,0.0,Labels,59,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To A25 DUKE,,,,,
