Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win WAKE,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover WAKE,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win WAKE,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover WAKE,BS Outcome - New BS DUKE,BS Outcome - New BS WAKE,Ball Start,Circle Entry,From Zone DUKE,From Zone WAKE,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type WAKE,To Zone DUKE,To Zone WAKE,Ungrouped,Notes,Flags
video 02 10 2022,0.0,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 02 10 2022,952.1161816899989,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 WAKE, In Conf, Road Game, Q1, Regular Season, DUKE 0 - 0  WAKE",,
video 02 10 2022,1937.5111666666667,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 02 10 2022,3129.8725777777777,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 02 10 2022,10.206830033666362,2.0,QUARTER START,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 02 10 2022,962.8855958476667,2.0,QUARTER START,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 02 10 2022,1935.2708446339993,2.0,QUARTER START,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 02 10 2022,3128.3808963583324,2.0,QUARTER START,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 02 10 2022,0.09829073099949352,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid WAKE,", ",,
video 02 10 2022,3.1714818489989534,0.0,Labels,2,,,,,,,,,,,,,,,,,,From DMid WAKE,,,,,,,,,,,,,,To AMid WAKE,,,
video 02 10 2022,6.799044214999345,0.0,Labels,3,,,,,,,,,,,,,,,,,,From AMid WAKE,,,,,,,,,,,,,,To A25 WAKE,,,
video 02 10 2022,13.332755555555556,0.0,Labels,4,,,,,,,,,,,,,,,,,,From A25 WAKE,,,,,,,,,,,,,,,,,
video 02 10 2022,13.332755555555556,0.0,Labels,5,,,,,,,,,,,,,,,,,,From A25 WAKE,,,,,,,,,,,,,To D25 DUKE,,,,
video 02 10 2022,18.7503,0.0,Labels,6,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,
video 02 10 2022,18.7503,0.0,Labels,7,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To A25 WAKE,,,
video 02 10 2022,28.0998250109994,0.0,Labels,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC WAKE,,,", ",,
video 02 10 2022,38.89802355799892,0.0,Labels,9,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To AMid WAKE,,,
video 02 10 2022,42.67673333333333,0.0,Labels,10, ,,,,,,,,,,,,,,,Middle,,From AMid WAKE,,,,,,,,,,,,,,,,,
video 02 10 2022,44.397708469998555,0.0,Labels,11,,,,,,,,,,,,,,,,,,From AMid WAKE,,"Chance WAKE, CE WAKE, Shot WAKE",,,,,,,,,,,To Circle WAKE,,,,
video 02 10 2022,45.39947373200002,0.0,Labels,12,,,,,,,,,,,,,,,,,,From AMid WAKE,,,,,,,,,,,,,,,,,
video 02 10 2022,50.198734049998606,0.0,Labels,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
video 02 10 2022,61.69702173599896,0.0,Labels,14,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
video 02 10 2022,67.59871987399906,0.0,Labels,15,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
video 02 10 2022,71.60008917600055,0.0,Labels,16,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
video 02 10 2022,77.25663333333334,0.0,Labels,17, ,,,,,,,,,,,,,,,Right,From A25 DUKE,,,,,,,,,,,,,,,,,,
video 02 10 2022,82.5981861669991,0.0,Labels,18,,,,,,,,,,,,,,,,,From A25 DUKE,,,"CE DUKE, PC Win DUKE",,,,,,,,,,,To Circle DUKE,,,,
video 02 10 2022,139.4995559089985,0.0,Labels,19,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,", ",,
video 02 10 2022,152.09902052899832,0.0,Labels,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC DUKE,,,,", ",,
video 02 10 2022,158.3991584859988,0.0,Labels,21,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To AMid DUKE,,,,
video 02 10 2022,161.19800591600065,0.0,Labels,22,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
video 02 10 2022,165.76638888888888,0.0,Labels,23,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
video 02 10 2022,165.76638888888888,0.0,Labels,24,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To D25 WAKE,,,
video 02 10 2022,170.29945653699946,0.0,Labels,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 WAKE,", ",,
video 02 10 2022,188.69999043899804,0.0,Labels,26,,,,,,,,,,,,,,,,,,From D25 WAKE,,,,,,,,,,,,,,To DMid WAKE,,,
video 02 10 2022,194.89901910500066,0.0,Labels,27,,,,,,,,,,,,,,,,,,From DMid WAKE,,,,,,,,,,,,,,To AMid WAKE,,,
video 02 10 2022,198.15103333333334,0.0,Labels,28,,,,,,,,,,,,,,,,,,From AMid WAKE,,,,,,,,,,,,,,,,,
video 02 10 2022,198.15103333333334,0.0,Labels,29,,,,,,,,,,,,,,,,,,From AMid WAKE,,,,,,,,,,,,,To DMid DUKE,,,,
video 02 10 2022,208.2987887780005,0.0,Labels,30,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
video 02 10 2022,211.69878172299977,0.0,Labels,31,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
