Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win APP,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct turnover APP,BS Outcome - Direct turnover DUKE,BS Outcome - In Direct Ball Win APP,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct turnover APP,BS Outcome - In Direct turnover DUKE,BS Outcome - New BS APP,BS Outcome - New BS DUKE,Ball Start,Circle Entry,From Zone APP,From Zone DUKE,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type APP,Start Type DUKE,To Zone APP,To Zone DUKE,Ungrouped,Notes,Flags
dukeappst,345.02941111111113,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dukeappst,1556.8790222222221,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dukeappst,2692.6417023576655,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 APP, Out of Conf, Home Game, Q2, Regular Season, DUKE 1 - 0  APP",,
dukeappst,4078.0533717826647,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 APP, Out of Conf, Home Game, Q3, Regular Season, DUKE 1 - 1  APP",,
dukeappst,5492.120335554999,1.0,Start,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 APP, Out of Conf, Home Game, Q4, Regular Season, DUKE 1 - 1  APP",,
dukeappst,354.6985469979987,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 APP,,", ",,
dukeappst,363.30366276499933,0.0,Labels,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 APP,,", ",,
dukeappst,368.71644444444445,0.0,Labels,3,,,,,,,,,,,,,,,,,From D25 APP,,,,,,,,,,,,,,,,,,
dukeappst,368.9996507199991,0.0,Labels,4,,,,,,,,,,,,,,,,,From D25 APP,,,,,,,,,,,,,,,To AMid DUKE,,,
dukeappst,371.2042725299994,0.0,Labels,5,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
