Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win BC,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct turnover BC,BS Outcome - Direct turnover DUKE,BS Outcome - In Direct Ball Win BC,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct turnover BC,BS Outcome - In Direct turnover DUKE,BS Outcome - New BS BC,BS Outcome - New BS DUKE,Ball Start,Circle Entry,From Zone BC,From Zone DUKE,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type BC,Start Type DUKE,To Zone BC,To Zone DUKE,Ungrouped,Notes,Flags
video 23 09 2022,151.41376128532147,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 BC, Out of Conf, Home Game, Q0, Regular Season, DUKE 0 - 0  BC",,
video 23 09 2022,1266.5085667806625,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", , DUKE 11v11 BC, Out of Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  BC",,
video 23 09 2022,2962.2016167746597,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 BC, Out of Conf, Home Game, Q2, Regular Season, DUKE 0 - 1  BC",,
video 23 09 2022,4072.0011595549977,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 BC, Out of Conf, Home Game, Q3, Regular Season, DUKE 0 - 1  BC",,
video 23 09 2022,150.31399998157596,2.0,QUARTER START,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 23 09 2022,1265.9095666666667,2.0,QUARTER START,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 23 09 2022,2987.1881,2.0,QUARTER START,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 23 09 2022,4070.681466666667,2.0,QUARTER START,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 23 09 2022,152.62178864565269,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,155.30192572034002,0.0,Labels,2,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,156.55165537733274,0.0,Labels,3,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,164.65170372233123,0.0,Labels,4,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,167.91863233998845,0.0,Labels,5,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,177.29684396832755,0.0,Labels,6,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,183.43537843566503,0.0,Labels,7,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To A25 BC,,,,
video 23 09 2022,184.95207155733524,0.0,Labels,8, ,,,,,,,,,,,,,,,Right,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,194.30200866331734,0.0,Labels,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC BC,,,,", ",,
