Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win COLG,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct turnover COLG,BS Outcome - Direct turnover DUKE,BS Outcome - In Direct Ball Win COLG,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct turnover COLG,BS Outcome - In Direct turnover DUKE,BS Outcome - New BS COLG,BS Outcome - New BS DUKE,Ball Start,Circle Entry,From Zone COLG,From Zone DUKE,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type COLG,Start Type DUKE,To Zone COLG,To Zone DUKE,Ungrouped,Notes,Flags
Duke_NC__Colgate_NY.SEP-18-2022,1080.8663777777779,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,2474.7582555555555,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,4283.073,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,5629.073733333334,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1085.462805701975,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke_NC__Colgate_NY.SEP-18-2022,1092.231188888889,0.0,Labels,2,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1093.2716876589998,0.0,Labels,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 COLG,,", ",,
Duke_NC__Colgate_NY.SEP-18-2022,1094.8992396959984,0.0,Labels,4,,,,,,,,,,,,,,,,,From D25 COLG,,,,,,,,,,,,,,To DMid COLG,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1104.3228555555556,0.0,Labels,5,,,,,,,,,,,,,,,,,From DMid COLG,,,,,,,,,,,,,,To AMid COLG,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1104.3228555555556,0.0,Labels,6,,,,,,,,,,,,,,,,,From AMid COLG,,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1104.3228555555556,0.0,Labels,7,,,,,,,,,,,,,,,,,From AMid COLG,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1108.4098590860026,0.0,Labels,8,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1110.299124827973,0.0,Labels,9,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1116.8994572100073,0.0,Labels,10,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1118.5985625559692,0.0,Labels,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 COLG,,", ",,
Duke_NC__Colgate_NY.SEP-18-2022,1138.7745555555555,0.0,Labels,12,,,,,,,,,,,,,,,,,From D25 COLG,,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1138.7745555555555,0.0,Labels,13,,,,,,,,,,,,,,,,,From D25 COLG,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1143.4849222222222,0.0,Labels,14,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1144.9990817559828,0.0,Labels,15,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1145.9988922889902,0.0,Labels,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 COLG,,", ",,
Duke_NC__Colgate_NY.SEP-18-2022,1149.598243194996,0.0,Labels,17,,,,,,,,,,,,,,,,,From D25 COLG,,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1151.9981599479863,0.0,Labels,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke_NC__Colgate_NY.SEP-18-2022,1157.5994714899934,0.0,Labels,19,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1164.3996564599797,0.0,Labels,20,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1167.099235745989,0.0,Labels,21,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1168.6845666666666,0.0,Labels,22,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1169.1986054529912,0.0,Labels,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 COLG,,", ",,
Duke_NC__Colgate_NY.SEP-18-2022,1172.9988730839925,0.0,Labels,24,,,,,,,,,,,,,,,,,From D25 COLG,,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1174.1969851819754,0.0,Labels,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,", ",,
Duke_NC__Colgate_NY.SEP-18-2022,1184.1987213280026,0.0,Labels,26,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,To A25 DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1188.4342444444444,0.0,Labels,27, ,,,,,,,,,,,,,,,Right,,From A25 DUKE,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1191.7990963669865,0.0,Labels,28,,,,,,,,,,,,,,,,,,From A25 DUKE,,CE DUKE,ACE-0 DUKE,,,,,,,,,,,To Circle DUKE,,,
Duke_NC__Colgate_NY.SEP-18-2022,1192.6985422009643,0.0,Labels,29,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1194.3996806669754,0.0,Labels,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 COLG,,", ",,
Duke_NC__Colgate_NY.SEP-18-2022,1211.6984262889807,0.0,Labels,31,,,,,,,,,,,,,,,,,From D25 COLG,,,,,,,,,,,,,,To DMid COLG,,,,
Duke_NC__Colgate_NY.SEP-18-2022,1219.1991465419972,0.0,Labels,32,,,,,,,,,,,,,,,,,From DMid COLG,,,,,,,,,,,,,,,,,,
