Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win JMU,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover JMU,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win JMU,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover JMU,BS Outcome - New BS DUKE,BS Outcome - New BS JMU,Ball Start,Circle Entry,From Zone DUKE,From Zone JMU,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type JMU,To Zone DUKE,To Zone JMU,Ungrouped,Notes,Flags
Duke vs JMU,128.58987414666487,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 JMU, Out of Conf, Home Game, Q0, Regular Season, DUKE 0 - 0  JMU",,
Duke vs JMU,1252.5950654800004,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 JMU, Out of Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  JMU",,
Duke vs JMU,2992.4181864833336,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 JMU, Out of Conf, Home Game, Q2, Regular Season, DUKE 0 - 1  JMU",,
Duke vs JMU,4254.036829315665,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 10v11 JMU, Out of Conf, Home Game, Q3, Regular Season, DUKE 0 - 3  JMU",,
Duke vs JMU,129.79555176533276,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,137.80224643066498,0.0,Labels,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,141.25813903633386,0.0,Labels,3,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,146.53993112299867,0.0,Labels,4,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,149.47877450433222,0.0,Labels,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid JMU,", ",,
Duke vs JMU,158.16026489100068,0.0,Labels,6,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,159.36847162766682,0.0,Labels,7,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,175.49531087266587,0.0,Labels,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs JMU,191.4192706593326,0.0,Labels,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,202.23195967999933,0.0,Labels,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
