Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win UMD,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover UMD,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win UMD,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover UMD,BS Outcome - New BS DUKE,BS Outcome - New BS UMD,Ball Start,Circle Entry,From Zone DUKE,From Zone UMD,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type UMD,To Zone DUKE,To Zone UMD,Ungrouped,Notes,Flags
Duke vs UMD,5225.729444444444,13.0,Upgrade DUKE,1,,,PC Win,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs UMD,257.88706249099835,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UMD, Out of Conf, Home Game, Q0, Regular Season, DUKE 0 - 0  UMD",,
Duke vs UMD,1519.9914777777778,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UMD,3641.1273,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UMD,4745.9639,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UMD,266.8984655629955,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UMD,", ",,
Duke vs UMD,278.89858600400413,0.0,Labels,2,,,,,,,,,,,,,,,,,,From D25 UMD,,,,,,,,,,,,,,To DMid UMD,,,
Duke vs UMD,284.1991087710012,0.0,Labels,3,,,,,,,,,,,,,,,,,,From DMid UMD,,,,,,,,,,,,,,To AMid UMD,,,
Duke vs UMD,287.49871292599676,0.0,Labels,4,,,,,,,,,,,,,,,,,,From AMid UMD,,,,,,,,,,,,,,To A25 UMD,,,
Duke vs UMD,296.59906222900366,0.0,Labels,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UMD,", ",,
Duke vs UMD,309.79692406199155,0.0,Labels,6, ,,,,,,,,,,,,,,,Middle,,From A25 UMD,,,,,,,,,,,,,,,,,
Duke vs UMD,310.8934535559848,0.0,Labels,7,,,,,,,,,,,,,,,,,,From A25 UMD,,"Chance UMD, CE UMD, Shot UMD",,,,,,,,,,,To Circle UMD,,,,
Duke vs UMD,315.0998965669886,0.0,Labels,8,,,,,,,,,,,,,,,,,,From A25 UMD,,,,,,,,,,,,LC UMD,,,,,
Duke vs UMD,333.03725555555553,0.0,Labels,9,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To A25 UMD,,,
Duke vs UMD,334.25495555555557,0.0,Labels,10,,,,,,,,,,,,,,,,,,From A25 UMD,,,,,,,,,,,,,,,,,
Duke vs UMD,334.25495555555557,0.0,Labels,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs UMD,337.2995751839898,0.0,Labels,12,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs UMD,346.2065,0.0,Labels,13,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs UMD,346.2065,0.0,Labels,14,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid UMD,,,
Duke vs UMD,352.19832529500127,0.0,Labels,15,,,,,,,,,,,,,,,,,,From AMid UMD,,,,,,,,,,,,,,To A25 UMD,,,
Duke vs UMD,354.08174238800746,0.0,Labels,16, ,,,,,,,,,,,,,,,Middle,,From A25 UMD,,,,,,,,,,,,,,,,,
Duke vs UMD,355.6995561349906,0.0,Labels,17,,,,,,,,,,,,,,,,,,From A25 UMD,,CE UMD,ACE-0 UMD,,,,,,,,,,To Circle UMD,,,,
Duke vs UMD,356.7993409269865,0.0,Labels,18,,,,,,,,,,,,,,,,,,From A25 UMD,,,,,,,,,,,,,,,,,
Duke vs UMD,367.09889887299346,0.0,Labels,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs UMD,373.9987342439868,0.0,Labels,20,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs UMD,379.98448036598853,0.0,Labels,21,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs UMD,382.0985615239957,0.0,Labels,22,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs UMD,383.99907149399,0.0,Labels,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UMD,", ",,
Duke vs UMD,395.7993591009948,0.0,Labels,24,,,,,,,,,,,,,,,,,,From D25 UMD,,,,,,,,,,,,,,To DMid UMD,,,
Duke vs UMD,399.29605376000836,0.0,Labels,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid UMD,", ",,
Duke vs UMD,408.6770222222222,0.0,Labels,26,,,,,,,,,,,,,,,,,,From DMid UMD,,,,,,,,,,,,,,,,,
