Timeline,Start time,Duration,Row,Instance number,Attack,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win NW,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover NW,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win NW,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover NW,BS Outcome - New BS DUKE,BS Outcome - New BS NW,Ball Start,Circle Entry,From Zone DUKE,From Zone NW,Goal Type,Outcome +,Outcome -,Outcome Neutral,Set Piece,Start Type DUKE,Start Type NW,To Zone DUKE,To Zone NW,Ungrouped,Notes,Flags
Duke vs Northwestern SEP2,471.82947937796274,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,"Road Game, Q0, DUKE 0 - 0  NW, DUKE 11v11 NW, Start DMid DUKE, BS2 DUKE, Regular Season, Out of Conf",,
Duke vs Northwestern SEP2,1836.5997982749818,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 NW, Out of Conf, Road Game, Q1, Regular Season, DUKE 0 - 1  NW",,
Duke vs Northwestern SEP2,3609.097458229961,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 NW, Out of Conf, Road Game, Q2, Regular Season, DUKE 0 - 1  NW",,
Duke vs Northwestern SEP2,4979.999107455988,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 NW, Out of Conf, Road Game, Q3, Regular Season, DUKE 0 - 2  NW",,
Duke vs Northwestern SEP2,2131.8535666666667,20.0,FIX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Northwestern SEP2,655.9969828110013,12.003382584013366,PC Win NW,1,,,,,,,,,,,,,,,From A25 NW,,"PC Win NW, CE NW",,,,,,To Circle NW,,"Road Game, Q1, DUKE 0 - 0  NW, DUKE 11v11 NW, Start A25 NW, BS4 NW, Regular Season, Out of Conf",,
Duke vs Northwestern SEP2,1047.4982911929897,11.202026414993725,PC Win NW,2,,,,,,,,,,,,,,,From A25 NW,,"PC Win NW, CE NW",,,,,,To Circle NW,,"Road Game, Q1, DUKE 0 - 0  NW, DUKE 11v11 NW, Start DMid NW, BS2 NW, Regular Season, Out of Conf",,
Duke vs Northwestern SEP2,1483.5965946099825,11.303892584024652,PC Win NW,3,,,,,,,,,,,,,,,From A25 NW,,"PC Win NW, CE NW",,,,,,To Circle NW,,"Road Game, Q1, BW4 NW, DUKE 0 - 1  NW, DUKE 11v11 NW, Start A25 NW, Regular Season, Out of Conf",,
Duke vs Northwestern SEP2,1611.0896777777778,10.0,PC Win NW,4,,,,,,,,,,,,,,,From A25 NW,,"PC Win NW, CE NW",,,,,,To Circle NW,,"Road Game, Q1, DUKE 0 - 1  NW, DUKE 11v11 NW, Start A25 NW, BS4 NW, Regular Season, Out of Conf",,
Duke vs Northwestern SEP2,1890.0987812319763,11.201718751009821,PC Win NW,5,,,,,,,,,,,,,,,,,"PC Win NW, CE NW",,,,,,To Circle DUKE,,"DUKE 11v11 NW, Out of Conf, Road Game, Q2, Regular Season, DUKE 0 - 1  NW",,
Duke vs Northwestern SEP2,4066.697161256993,10.30326295802115,PC Win NW,6,,,,,,,,,,,,,,,From A25 NW,,"PC Win NW, CE NW",,,,,,To Circle NW,,"Road Game, Q3, BW3 NW, DUKE 0 - 1  NW, DUKE 11v11 NW, Start AMid NW, Regular Season, Out of Conf",,
Duke vs Northwestern SEP2,5092.570205261986,10.246335374015871,PC Win NW,7,,,,,,,,,,,,,,,From A25 NW,,"PC Win NW, CE NW",,,,,,To Circle NW,,"Road Game, Q4, BW3 NW, DUKE 0 - 2  NW, DUKE 11v11 NW, Start AMid NW, Regular Season, Out of Conf",,
Duke vs Northwestern SEP2,5244.58501627798,10.315620250003121,PC Win NW,8,,,,,,,,,,,,,,,From A25 NW,,"PC Win NW, CE NW",,,,,,To Circle NW,,"Road Game, Q4, DUKE 0 - 2  NW, DUKE 11v11 NW, Start A25 NW, Regular Season, Out of Conf",,
