Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win RUTG,BS Outcome - Direct Ball Win Rutgers,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover RUTG,BS Outcome - Direct turnover Rutgers,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win RUTG,BS Outcome - In Direct Ball Win Rutgers,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover RUTG,BS Outcome - In Direct turnover Rutgers,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS RUTG,BS Outcome - New BS Rutgers,Ball Position,Ball Start,Build Zone,Circle Entry,Circle Zone,Eliminations,From Zone DUKE,From Zone Duke,From Zone RUTG,From Zone Rutgers,Goal Type,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Result,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Shot Selection,Start Type DUKE,Start Type Duke,Start Type RUTG,Start Type Rutgers,Target,To Zone DUKE,To Zone Duke,To Zone RUTG,To Zone Rutgers,Ungrouped,Notes,Flags
260822 Rutgers v Duke,109.3690458423333,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Home Game, RUTG 0 - DUKE 0, Q0, VC Game 1, BH, Regular Season, Out of Conf",,
260822 Rutgers v Duke,1305.4452042956668,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Home Game, RUTG 0 - DUKE 0, Q1, VC Game 1, BH, Regular Season, Out of Conf",,
260822 Rutgers v Duke,3055.740900269333,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Home Game, RUTG 1 - DUKE 1, Q2, VC Game 1, BH, Regular Season, Out of Conf",,
260822 Rutgers v Duke,4379.497767733999,1.0,Start,4,,,,,(Re)Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Home Game, RUTG 1 - DUKE 1, Q3, VC Game 1, BH, Regular Season, Out of Conf",,
260822 Rutgers v Duke,6184.195712106999,1.0,Start,5,,,,,(Re)Start,,,,,,,,,,,,,,,,,,,,,,,,,,,From,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,,,"Home Game, RUTG 1 - DUKE 1, Q4, VC Game 1, BH, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7259.897663925999,1.0,Start,6,,,,,(Re)Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Home Game, RUTG 1 - DUKE 1, Q5, VC Game 1, BH, Regular Season, Out of Conf",,
260822 Rutgers v Duke,3420.484988500999,17.0,Yellow RUTG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260822 Rutgers v Duke,5581.791723962,13.0,Upgrade PC RUTG,1,,,PC Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From RUTG A25,,,,,,,,,,,,,,,,,,,,,,,,"Home Game, Q4, BW4 RUTG, VC Game 1, RUTG 1 - DUKE 1, BH, Start RUTG A25, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7722.089583510999,13.0,Upgrade PC RUTG,2,,,PC Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From RUTG A25,,,,,,,,,,,,,,,,,,,,,,,,"Home Game, RUTG 1 - DUKE 1, Q6, VC Game 1, BH, BS2 RUTG, Start RUTG D25, Regular Season, Out of Conf",,
260822 Rutgers v Duke,123.81114146566652,7.120452106333417,RUTG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
