Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win SJU,BS Outcome - Direct Ball Win STJoe,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover SJU,BS Outcome - Direct turnover STJoe,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win SJU,BS Outcome - In Direct Ball Win STJoe,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover SJU,BS Outcome - In Direct turnover STJoe,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS SJU,BS Outcome - New BS STJoe,Ball Start,Build Zone,Circle Entry,Circle Zone,From Zone DUKE,From Zone Duke,From Zone SJU,From Zone STJoe,Goal Type,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type Black,Start Type DUKE,Start Type Duke,Start Type Rutgers,Start Type SJU,Start Type STJoe,To Zone Black,To Zone DUKE,To Zone Duke,To Zone Rutgers,To Zone SJU,To Zone STJoe,Ungrouped,Notes,Flags
270822 SJU v Duke (Control Boat),425.39766411033594,2.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1929.7581681006682,2.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3715.668503881,2.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),4987.4118400126645,2.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),6504.492464407988,2.0,Start,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),7403.2525594986555,2.0,Start,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),460.26667297800066,1307.2462219661024,Q1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1971.5938409959954,1113.6663118300971,Q2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),3745.660404923207,1090.7018628602923,Q3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),5014.867596093745,1155.2865546082621,Q4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),6531.94822048907,702.4876606040943,Q5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),7446.223984893662,475.6556658525542,Q6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1143.141167713332,143.5860453206683,VR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, STJoe 0 - DUKE 0, Q1, VC Game 1, BH, Regular Season, Out of Conf",,
270822 SJU v Duke (Control Boat),1306.51560241233,135.18591418568144,VR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, STJoe 0 - DUKE 0, Q1, VC Game 1, BH, Regular Season, Out of Conf",,
270822 SJU v Duke (Control Boat),7908.130665073657,218.67293288735345,VR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, STJoe 0 - DUKE 1, Q6, VC Game 1, BH, Regular Season, Out of Conf",,
270822 SJU v Duke (Control Boat),478.14313412633743,7.220666009663091,STJoe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),490.7471281046529,3.0839577880163915,STJoe,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),508.6052792469889,97.55908542001265,STJoe,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),631.1978503223185,31.899400045009656,STJoe,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),675.4812319836536,91.56871005834398,STJoe,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),774.4040674913404,15.502676182648656,STJoe,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),825.3690140236557,49.9002437649965,STJoe,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),902.0004237089889,6.517155519675953,STJoe,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),929.0193298306589,14.649895177999838,STJoe,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),960.319697929005,31.863640345983526,STJoe,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1019.5736791849913,8.381432989002633,STJoe,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1472.3682463646667,9.870974756336864,STJoe,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1514.92428194433,8.66105516300604,STJoe,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1542.1348258963276,5.966966073675849,STJoe,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1556.5529179966693,23.98431436399528,STJoe,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1584.9624254899954,13.980086239345155,STJoe,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1618.6236712983339,18.15401810665685,STJoe,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1683.7037730496527,4.486084949674478,STJoe,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1692.768924314663,9.805717128673678,STJoe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1725.366874404326,17.766686950340727,STJoe,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1752.9581625956641,13.849842534991467,STJoe,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),1954.9008323483274,8.390453326667966,STJoe,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
