Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win CUSE,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct turnover CUSE,BS Outcome - Direct turnover DUKE,BS Outcome - In Direct Ball Win CUSE,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct turnover CUSE,BS Outcome - In Direct turnover DUKE,BS Outcome - New BS CUSE,BS Outcome - New BS DUKE,Ball Start,Circle Entry,From Zone CUSE,From Zone DUKE,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type CUSE,Start Type DUKE,To Zone CUSE,To Zone DUKE,Ungrouped,Notes,Flags
Duke vs Cuse,-4.424928005351436,2.0,QUARTER START,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Cuse,1330.0239596053088,2.0,QUARTER START,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Cuse,3115.9187475723397,2.0,QUARTER START,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Cuse,4409.098926746974,2.0,QUARTER START,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Cuse,1900.0990195429924,13.0,Upgrade DUKE,1,,,PC Win,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,", Home Game, Q2, DUKE 0 - 3  CUSE, DUKE 11v11 CUSE, Start A25 DUKE, BS4 DUKE, Regular Season, Out of Conf",,
Duke vs Cuse,3883.7990757369625,13.0,Upgrade DUKE,2,,,PC Win,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,", Home Game, Q3, BW3 DUKE, DUKE 0 - 4  CUSE, DUKE 11v11 CUSE, Start AMid DUKE, Regular Season, Out of Conf",,
Duke vs Cuse,3325.9405555555554,13.0,Upgrade CUSE,1,,,PC Win,,,,,,,,,,,,,,From A25 CUSE,,,,,,,,,,,,,,,,,,
Duke vs Cuse,4168.386677777778,13.0,Upgrade CUSE,2,,,PC Win,,,,,,,,,,,,,,From A25 CUSE,,,,,,,,,,,,,,,,,,
Duke vs Cuse,5399.599460434983,13.0,Upgrade CUSE,3,,,PC Win,,,,,,,,,,,,,,From A25 CUSE,,,,,,,,,,,,,,,,", Home Game, DUKE 1 - 5  CUSE, Q4, Start LC CUSE, DUKE 11v11 CUSE, Start LC CUSE, Regular Season, Out of Conf",,
Duke vs Cuse,0.0,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Cuse,1336.560088888889,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Cuse,3122.0017222222223,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
