Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win UNC,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover UNC,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win UNC,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover UNC,BS Outcome - New BS DUKE,BS Outcome - New BS UNC,Ball Start,Circle Entry,From Zone DUKE,From Zone UNC,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type UNC,To Zone DUKE,To Zone UNC,Ungrouped,Notes,Flags
Duke vs UNC,583.4557888888888,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UNC,1894.0058,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UNC,3210.8993666666665,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UNC,4207.168522222222,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UNC,581.5645924726664,2.0,QUARTER START,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UNC,1892.0589668516661,2.0,QUARTER START,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UNC,3208.6621329216664,2.0,QUARTER START,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UNC,5741.888348839335,2.0,QUARTER START,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs UNC,594.1483333333333,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid UNC,", ",,
Duke vs UNC,614.8470943639985,0.0,Labels,2,,,,,,,,,,,,,,,,,,From DMid UNC,,,,,,,,,,,,,,To AMid UNC,,,
Duke vs UNC,619.2121742009967,0.0,Labels,3,,,,,,,,,,,,,,,,,,From AMid UNC,,,,,,,,,,,,,,To A25 UNC,,,
Duke vs UNC,625.9257333333334,0.0,Labels,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UNC,", ",,
Duke vs UNC,630.0978771409998,0.0,Labels,5, ,,,,,,,,,,,,,,,Right,,From A25 UNC,,,,,,,,,,,,,,,,,
Duke vs UNC,635.3126047529971,0.0,Labels,6,,,,,,,,,,,,,,,,,,From A25 UNC,,CE UNC,ACE-0 UNC,,,,,,,,,,To Circle UNC,,,,
Duke vs UNC,638.5977772679984,0.0,Labels,7,,,,,,,,,,,,,,,,,,From A25 UNC,,,,,,,,,,,,,,,,,
Duke vs UNC,642.4985492839992,0.0,Labels,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs UNC,660.0983967989993,0.0,Labels,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs UNC,673.3101805099981,0.0,Labels,10,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs UNC,675.8893333333333,0.0,Labels,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UNC,", ",,
Duke vs UNC,679.8990800520014,0.0,Labels,12,,,,,,,,,,,,,,,,,,From AMid UNC,,,,,,,,,,,,,,To DMid UNC,,,
Duke vs UNC,688.5988294979977,0.0,Labels,13,,,,,,,,,,,,,,,,,,From DMid UNC,,,,,,,,,,,,,,To AMid UNC,,,
Duke vs UNC,692.2994764289981,0.0,Labels,14,,,,,,,,,,,,,,,,,,From AMid UNC,,,,,,,,,,,,,,To A25 UNC,,,
Duke vs UNC,695.1603444444445,0.0,Labels,15, ,,,,,,,,,,,,,,,Middle,,From A25 UNC,,,,,,,,,,,,,,,,,
Duke vs UNC,695.5988970989993,0.0,Labels,16,,,,,,,,,,,,,,,,,,From A25 UNC,,"Shot UNC, CE UNC, Chance UNC",,,,,,,,,,,To Circle UNC,,,,
Duke vs UNC,703.5987173679958,0.0,Labels,17,,,,,,,,,,,,,,,,,,From A25 UNC,,,,,,,,,,,,LC UNC,,,,,
Duke vs UNC,717.9989213029983,0.0,Labels,18,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To AMid UNC,,,
Duke vs UNC,724.7995391409981,0.0,Labels,19,,,,,,,,,,,,,,,,,,From AMid UNC,,,,,,,,,,,,,,To A25 UNC,,,
Duke vs UNC,727.699588081996,0.0,Labels,20,,,,,,,,,,,,,,,,,,From A25 UNC,,,,,,,,,,,,,,,,,
Duke vs UNC,729.3991083149986,0.0,Labels,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs UNC,731.3990044399984,0.0,Labels,22,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs UNC,733.4505940349994,0.0,Labels,23,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs UNC,741.7696111111111,0.0,Labels,24,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs UNC,741.7696111111111,0.0,Labels,25,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To DMid UNC,,,
Duke vs UNC,748.4993444710008,0.0,Labels,26,,,,,,,,,,,,,,,,,,From DMid UNC,,,,,,,,,,,,,,To AMid UNC,,,
Duke vs UNC,753.3508444444444,0.0,Labels,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UNC,", ",,
Duke vs UNC,755.6963865979957,0.0,Labels,28,,,,,,,,,,,,,,,,,,From AMid UNC,,,,,,,,,,,,,,To A25 UNC,,,
Duke vs UNC,763.9991000309974,0.0,Labels,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UNC,", ",,
Duke vs UNC,775.3123777777778,0.0,Labels,30,,,,,,,,,,,,,,,,,,From A25 UNC,,,,,,,,,,,,,,,,,
Duke vs UNC,775.3123777777778,0.0,Labels,31,,,,,,,,,,,,,,,,,,From A25 UNC,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs UNC,780.4884666429998,0.0,Labels,32,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs UNC,783.7992913039989,0.0,Labels,33,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs UNC,791.7967321289987,0.0,Labels,34,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs UNC,792.6996483589986,0.0,Labels,35, ,,,,,,,,,,,,,,,Right,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs UNC,794.1436,0.0,Labels,36,,,,,,,,,,,,,,,,,From A25 DUKE,,,"Shot DUKE, CE DUKE, Chance DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs UNC,795.6898723370017,0.0,Labels,37,,,,,,,,,,,,,,,,,From A25 DUKE,,,"PC Win DUKE, CE DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs UNC,852.7999717620003,0.0,Labels,38,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,", ",,
Duke vs UNC,864.0986826219988,0.0,Labels,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC DUKE,,,,", ",,
Duke vs UNC,870.6095475720011,0.0,Labels,40,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs UNC,874.6777777777778,0.0,Labels,41,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs UNC,874.6777777777778,0.0,Labels,42,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To DMid UNC,,,
