Timeline,Start time,Duration,Row,Instance number,, ,1. Teams,1st Phase,1st Runner,2. Time,25 Build Up,2nd Phase,3. Score,8. Shot/Goal Type,Actor,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win LONG,BS Outcome - Direct Ball Win Rutgers,BS Outcome - Direct Ball Win SJU,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover LONG,BS Outcome - Direct turnover Rutgers,BS Outcome - Direct turnover SJU,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win LONG,BS Outcome - In Direct Ball Win Rutgers,BS Outcome - In Direct Ball Win SJU,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover LONG,BS Outcome - In Direct turnover Rutgers,BS Outcome - In Direct turnover SJU,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS LONG,BS Outcome - New BS Rutgers,BS Outcome - New BS SJU,Ball Position,Ball Start,Build Zone,Circle Entry,Circle Zone,Competition,Eliminations,End Pos,From Zone DUKE,From Zone Duke,From Zone LONG,From Zone Rutgers,From Zone SJU,Goal Type,Goalie,Location,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Result,Routine,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Shot Selection,Special,Start Pos,Start Type DUKE,Start Type Duke,Start Type LONG,Start Type RUTG,Start Type Rutgers,Start Type SJU,Stopper,Target,To Zone DUKE,To Zone Duke,To Zone LONG,To Zone RUTG,To Zone Rutgers,To Zone SJU,Trap Fail,Trap Move,Traps,vs,Ungrouped,Notes,Flags
Duke v SJU,0.0,8.964999999999918,Saint Joes ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke, PC Win Duke, PC Win Duke",,,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU, To Circle SJU",,,,,", Q1, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,18.613000000000056,Saint Joes ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long Corner,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,", Q1, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,21.932000000000016,Saint Joes ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shot Duke, Chance Duke",,,,,,,PC,,,,,,,,,,,,,,,,,,,,To Circle SJU,,,,,", Q1, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,13.736000000000331,Saint Joes ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke",,Long Corner,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU",,,,,", Q2, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,7.4210000000002765,Saint Joes ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Against, Turnover",,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,", Q2, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,9.02600000000075,Saint Joes ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke, PC Win Duke, PC Win Duke",,,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU, To Circle SJU",,,,,", Q4, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,7.798999999999978,Saint Joes ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke","Foul Against, Turnover",,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU",,,,,", Q4, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,8.667999999999665,Saint Joes ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke","Interception, Turnover",,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU",,,,,", Q4, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Timeline unc,0.0,14.0,UNC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hit 2nd - JP - glove side - UNC - 1-2-1,,
Timeline unc,0.0,14.0,UNC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st - Hit - JP - back to insert - UNC 1-2-1,,
