run,sex,age,height_in
1,male,69,70
2,male,68,69
3,male,27,70
4,female,75,63
5,male,71,69
6,female,26,64
7,male,47,69
8,female,23,64
9,female,30,64
10,male,54,69
11,male,52,70
12,male,40,69
13,female,43,64
14,female,58,64
15,male,21,70
16,female,20,64
17,female,62,64
18,male,53,69
19,female,71,64
20,female,77,63
21,male,66,5'9
22,female,71,63
23,male,35,69
24,male,68,69
25,female,36,64
26,female,41,64
27,male,78,69
28,male,22,70
29,male,24,70
30,female,74,63
31,male,31,70
32,male,74,69
33,female,71,64
34,female,54,64
35,male,53,69
36,male,40,69
37,female,49,64
38,male,50,69
39,male,64,69
40,female,56,64
41,female,62,64
42,female,27,64
43,female,28,64
44,male,46,70
45,male,60,69
46,female,39,64
47,male,42,70
48,male,71,69
49,female,77,63
50,male,67,5'9
51,female,69,64
52,male,44,69
53,female,75,63
54,female,47,64
55,female,33,64
56,male,74,69
57,female,54,64
58,male,48,69
59,female,38,64
60,female,46,64
61,male,56,69
62,male,60,69
63,female,39,64
64,male,73,69
65,male,30,69
66,female,67,64
67,female,55,64
68,male,68,69
69,male,54,69
70,male,53,69
71,female,45,64
72,female,58,64
73,male,32,70
74,female,68,64
75,female,25,64
76,female,73,63
77,female,41,64
78,female,52,64
79,female,29,64
80,female,65,64
81,male,27,70
82,male,24,70
83,female,41,64
84,female,46,64
85,female,76,63
86,female,56,64
87,female,41,64
88,male,41,69
89,male,40,69
90,male,35,69
91,female,50,64
92,male,71,69
93,male,21,70
94,female,46,64
95,male,59,69
96,male,25,70
97,male,32,70
98,male,26,70
99,female,57,64
100,male,43,70
101,male,21,70
102,female,41,64
103,male,64,69
104,female,73,63
105,female,32,64
106,female,38,64
107,female,22,64
108,male,69,70
109,male,74,69
110,male,48,70
111,male,40,69
112,male,54,69
113,female,40,64
114,male,37,70
115,male,49,70
116,male,31,70
117,female,78,63
118,male,67,69
119,female,75,63
120,female,56,64
121,female,41,64
122,female,29,64
123,female,24,64
124,male,47,69
125,female,63,64
126,male,39,70
127,female,76,63
128,female,40,64
129,female,58,64
130,male,36,70
131,female,77,63
132,female,34,64
133,female,26,64
134,male,39,70
135,female,38,64
136,female,68,63
137,male,31,70
138,male,28,70
139,male,45,70
140,male,44,69
141,female,75,63
142,male,62,69
143,female,39,64
144,female,50,64
145,female,51,64
146,male,50,69
147,male,32,69
148,female,75,63
149,male,36,70
150,female,40,64
151,male,70,69
152,male,46,69
153,male,53,69
154,male,37,70
155,female,50,64
156,male,42,70
157,female,74,63
158,female,78,63
159,female,49,64
160,male,76,69
161,female,42,64
162,male,52,70
163,female,77,63
164,male,44,70
165,female,30,64
166,male,34,70
167,female,36,64
168,female,25,64
169,male,64,69
170,female,39,64
171,male,74,69
172,female,72,63
173,male,53,69
174,female,64,64
175,male,67,69
176,male,27,"5'10"" — wait, you"
177,female,43,64
178,female,64,64
179,female,34,64
180,male,72,69
181,male,56,69
182,female,38,64
183,female,59,64
184,female,31,64
185,male,30,69
186,male,25,70
187,female,42,64
188,female,20,64
189,female,57,64
190,male,36,70
191,female,40,64
192,male,22,70
193,male,69,69
194,male,28,70
195,female,35,64
196,female,70,64
197,male,74,69
198,male,29,70
199,male,31,70
200,female,62,64
